consumer,resource,NA,NA,NA
Amphipholis_squamata,species,NA,0.0016,marine
Zooplankton,NA,NA,0.001,marine
Lipophrys_pholis,species,NA,0.01,marine
Coryphoblennius_galerita,species,NA,0.01,marine
Ampithoidae,family,NA,0.0083,marine
Gammaridae,family,NA,0.01,marine
Liza_ramada,species,NA,0.436,marine
Pachygrapsus_transversus,species,NA,1.14,marine
Polychaeta,class,NA,0.01,marine
Lipophrys_pholis,species,NA,0.01,marine
Coryphoblennius_galerita,species,NA,0.01,marine
Amphipholis_squamata,species,NA,0.0016,marine
Liza_ramada,species,NA,0.436,marine
Ampithoidae,family,NA,0.0083,marine
Gammaridae,family,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Polychaeta,class,NA,0.01,marine
Pachygrapsus_transversus,species,NA,1.14,marine
