consumer,resource,NA,NA,NA,NA
fish_eggs,NA,larvae,0.0201,lakes,3
copepod_nauplii,NA,nauplii,0.001812356,lakes,3
Diaptomus_minutus,species,NA,1.44e-5,lakes,3
Diaptomus_leptopus,species,NA,1.01e-5,lakes,3
Daphnia_ambigua,species,NA,1e-5,lakes,3
Mesocyclops_edax,species,NA,1e-5,lakes,3
Tropocyclops_prasinus,species,NA,6.85e-6,lakes,3
Diaptomus_sicilis,species,NA,5.79e-6,lakes,3
Salvelinus_fontinalis,species,NA,230,lakes,3
Gastropus_stylifer,species,NA,8.55e-7,lakes,3
Polyarthra_major,species,NA,8.55e-7,lakes,3
Semotilus_atromaculatus,species,NA,36,lakes,3
Chrosomus_eos,species,NA,3.4,lakes,3
Holopedium_gibberum,species,NA,6.82e-5,lakes,3
Daphnia_pulex,species,NA,5.8e-5,lakes,3
Keratella_taurocephala,species,NA,1e-8,lakes,3
Daphnia_catawba,species,NA,1e-5,lakes,3
Daphnia_retrocurva,species,NA,1e-5,lakes,3
fish_fry,NA,larvae,0.016,lakes,3
