consumer,resource,NA,NA,NA
Gibbula_umbilicalis,species,NA,0.005,marine
Coryphoblennius_galerita,species,NA,0.94,marine
Gammaridae,family,NA,8e-4,marine
Zooplankton,NA,NA,0.001,marine
Palaemon_elegans,species,NA,0.01,marine
Pachygrapsus_transversus,species,NA,0.78,marine
Gibbula_pennanti,species,NA,0.01,marine
Copepoda,NA,NA,0.001,marine
Polychaeta,class,NA,2e-4,marine
Insecta,class,NA,3e-4,marine
Pachygrapsus_transversus,species,NA,0.78,marine
Coryphoblennius_galerita,species,NA,0.94,marine
Gammaridae,family,NA,8e-4,marine
Palaemon_elegans,species,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Copepoda,NA,NA,0.001,marine
Insecta,class,NA,3e-4,marine
Polychaeta,class,NA,2e-4,marine
