consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Coryphoblennius_galerita,species,NA,1.02,marine
Isopoda,order,NA,0.01,marine
Ampithoidae,family,NA,0.0023,marine
Gammaridae,family,NA,8e-4,marine
Caprella_sp.,genus,NA,0.01,marine
Batzella_inops,species,NA,0.01,marine
Anemonia_sargassensis,species,NA,0.37,marine
Polychaeta,class,NA,0.0105,marine
Zooplankton,NA,NA,0.001,marine
Isopoda,order,NA,0.01,marine
Ampithoidae,family,NA,0.0023,marine
Gammaridae,family,NA,8e-4,marine
Caprella_sp.,genus,NA,0.01,marine
Anemonia_sargassensis,species,NA,0.37,marine
Polychaeta,class,NA,0.0105,marine
Coryphoblennius_galerita,species,NA,1.02,marine
