consumer,resource
Lithobius_crassipes,Achipteria_coleoptrata
Lithobius_mutabilis,Achipteria_coleoptrata
Lithobius_sp.,Achipteria_coleoptrata
Geophilus_ribauti,Achipteria_coleoptrata
Lithobius_curtipes_(juv),Achipteria_coleoptrata
Lithobius_aeruginosus_(juv),Achipteria_coleoptrata
Geophilus_ribauti_(juv),Achipteria_coleoptrata
Lithobius_lapidicola,Achipteria_coleoptrata
Lithobius_curtipes_{l},Achipteria_coleoptrata
Lithobius_sp2_{l},Achipteria_coleoptrata
Lithobius_aeruginosus_{l},Achipteria_coleoptrata
Strigamia_acuminata,Aegopinella_nitens_(juv)
Xantholinus_tricolor,Aegopinella_nitens_(juv)
Lithobius_crassipes,Allaiulus_nitidus_{xxl}
Lithobius_piceus,Allaiulus_nitidus_{xxl}
Lithobius_mutabilis,Allaiulus_nitidus_{xxl}
Lithobius_sp.,Allaiulus_nitidus_{xxl}
Geophilus_ribauti,Allaiulus_nitidus_{xxl}
Geophilus_electricus,Allaiulus_nitidus_{xxl}
Schendyla_nemorensis,Allaiulus_nitidus_{xxl}
Geophilus_flavus,Allaiulus_nitidus_{xxl}
Strigamia_acuminata,Allaiulus_nitidus_{xxl}
Lithobius_lapidicola,Allaiulus_nitidus_{xxl}
Geophilus_electricus_(juv),Allaiulus_nitidus_{xxl}
Carabidae_sp._(juv),Allaiulus_nitidus_{xxl}
Geophilomorpha_sp.,Allaiulus_nitidus_{xxl}
Lithobius_crassipes,Amaurobius_sp._(juv)
Lithobius_piceus,Amaurobius_sp._(juv)
Lithobius_mutabilis,Amaurobius_sp._(juv)
Lithobius_sp.,Amaurobius_sp._(juv)
Geophilus_ribauti,Amaurobius_sp._(juv)
Geophilus_electricus,Amaurobius_sp._(juv)
Schendyla_nemorensis,Amaurobius_sp._(juv)
Geophilus_flavus,Amaurobius_sp._(juv)
Strigamia_acuminata,Amaurobius_sp._(juv)
Amaurobius_sp._(juv),Amaurobius_sp._(juv)
Geophilus_ribauti_(juv),Amaurobius_sp._(juv)
Lithobius_lapidicola,Amaurobius_sp._(juv)
Geophilus_electricus_(juv),Amaurobius_sp._(juv)
Xantholinus_tricolor,Amaurobius_sp._(juv)
Lithobius_curtipes_{l},Amaurobius_sp._(juv)
Lithobius_aeruginosus_{l},Amaurobius_sp._(juv)
Carabidae_sp._(juv),Amaurobius_sp._(juv)
Geophilomorpha_sp.,Amaurobius_sp._(juv)
Harpactea_lepida_large,Amaurobius_sp._(juv)
Ceratophysella_denticulata,amoebae
Isotomiella_minor,amoebae
Megalothorax_minimus,amoebae
Parisotoma_notabilis,amoebae
Lumbricus_sp._(juv),amoebae
Lumbricus_terrestris,amoebae
predacious_nematodes,amoebae
omnivorous_nematodes,amoebae
Enchytraeidae,amoebae
Octolasion_tyrtaeum_(juv)_{xxl},amoebae
Carabidae_sp._(juv),Arion_silvaticus
Lithobius_crassipes,Armadillidium_opacum
Lithobius_piceus,Armadillidium_opacum
Lithobius_mutabilis,Armadillidium_opacum
Lithobius_sp.,Armadillidium_opacum
Geophilus_ribauti,Armadillidium_opacum
Geophilus_electricus,Armadillidium_opacum
Schendyla_nemorensis,Armadillidium_opacum
Geophilus_flavus,Armadillidium_opacum
Strigamia_acuminata,Armadillidium_opacum
Geophilus_ribauti_(juv),Armadillidium_opacum
Lithobius_lapidicola,Armadillidium_opacum
Geophilus_electricus_(juv),Armadillidium_opacum
Xantholinus_tricolor,Armadillidium_opacum
Lithobius_curtipes_{l},Armadillidium_opacum
Lithobius_aeruginosus_{l},Armadillidium_opacum
Carabidae_sp._(juv),Armadillidium_opacum
Geophilomorpha_sp.,Armadillidium_opacum
Lithobius_crassipes,Atheta_fungi
Lithobius_piceus,Atheta_fungi
Lithobius_mutabilis,Atheta_fungi
Lithobius_sp.,Atheta_fungi
Geophilus_ribauti,Atheta_fungi
Geophilus_electricus,Atheta_fungi
Schendyla_nemorensis,Atheta_fungi
Geophilus_flavus,Atheta_fungi
Strigamia_acuminata,Atheta_fungi
Malthodes_sp._(juv),Atheta_fungi
Atheta_fungi,Atheta_fungi
Habrocerus_capillaricornis,Atheta_fungi
Othius_sp._(juv)_{m},Atheta_fungi
Amaurobius_sp._(juv),Atheta_fungi
Diplocephalus_picinus,Atheta_fungi
Harpactea_lepida_(juv)_small,Atheta_fungi
Harpactea_lepida_small,Atheta_fungi
Microneta_viaria,Atheta_fungi
Neobisium_sp.,Atheta_fungi
Robertus_lividus,Atheta_fungi
Lithobius_curtipes_(juv),Atheta_fungi
Bolitochara_sp.,Atheta_fungi
Clubionidae_(juv),Atheta_fungi
Lithobius_aeruginosus_(juv),Atheta_fungi
Geophilus_ribauti_(juv),Atheta_fungi
Lithobius_lapidicola,Atheta_fungi
Geophilus_electricus_(juv),Atheta_fungi
Xantholinus_tricolor,Atheta_fungi
Lithobius_curtipes_{l},Atheta_fungi
Lithobius_sp2_{l},Atheta_fungi
Campodea_sp._{l},Atheta_fungi
Lithobius_aeruginosus_{l},Atheta_fungi
Staphylinidae_spec,Atheta_fungi
Geophilomorpha_sp.,Atheta_fungi
Harpactea_lepida_(juv)_large,Atheta_fungi
Harpactea_lepida_large,Atheta_fungi
Theridiidae_sp._(juv),Atheta_fungi
Lithobius_crassipes,Atheta_sp._(juv)
Lithobius_piceus,Atheta_sp._(juv)
Lithobius_mutabilis,Atheta_sp._(juv)
Lithobius_sp.,Atheta_sp._(juv)
Geophilus_ribauti,Atheta_sp._(juv)
Geophilus_electricus,Atheta_sp._(juv)
Schendyla_nemorensis,Atheta_sp._(juv)
Geophilus_flavus,Atheta_sp._(juv)
Strigamia_acuminata,Atheta_sp._(juv)
Malthodes_sp._(juv),Atheta_sp._(juv)
Athous_subfuscus_(juv)_{m},Atheta_sp._(juv)
Atheta_fungi,Atheta_sp._(juv)
Atheta_sp._(juv),Atheta_sp._(juv)
Habrocerus_capillaricornis,Atheta_sp._(juv)
Othius_sp._(juv)_{m},Atheta_sp._(juv)
Amaurobius_sp._(juv),Atheta_sp._(juv)
Diplocephalus_picinus,Atheta_sp._(juv)
Harpactea_lepida_(juv)_small,Atheta_sp._(juv)
Harpactea_lepida_small,Atheta_sp._(juv)
Linyphiidae_(juv),Atheta_sp._(juv)
Microneta_viaria,Atheta_sp._(juv)
Neobisium_sp.,Atheta_sp._(juv)
Robertus_lividus,Atheta_sp._(juv)
Lithobius_curtipes_(juv),Atheta_sp._(juv)
Bolitochara_sp.,Atheta_sp._(juv)
Centromerus_brevivulvatus,Atheta_sp._(juv)
Clubionidae_(juv),Atheta_sp._(juv)
Lithobius_aeruginosus_(juv),Atheta_sp._(juv)
Geophilus_ribauti_(juv),Atheta_sp._(juv)
Lithobius_lapidicola,Atheta_sp._(juv)
Geophilus_electricus_(juv),Atheta_sp._(juv)
Xantholinus_tricolor,Atheta_sp._(juv)
Lithobius_curtipes_{l},Atheta_sp._(juv)
Lithobius_sp2_{l},Atheta_sp._(juv)
Campodea_sp._{l},Atheta_sp._(juv)
Lithobius_aeruginosus_{l},Atheta_sp._(juv)
Staphylinidae_spec,Atheta_sp._(juv)
Geophilomorpha_sp.,Atheta_sp._(juv)
Harpactea_lepida_(juv)_large,Atheta_sp._(juv)
Harpactea_lepida_large,Atheta_sp._(juv)
Theridiidae_sp._(juv),Atheta_sp._(juv)
Lithobius_crassipes,Athous_sp._(juv)
Lithobius_piceus,Athous_sp._(juv)
Lithobius_mutabilis,Athous_sp._(juv)
Lithobius_sp.,Athous_sp._(juv)
Geophilus_ribauti,Athous_sp._(juv)
Geophilus_electricus,Athous_sp._(juv)
Schendyla_nemorensis,Athous_sp._(juv)
Geophilus_flavus,Athous_sp._(juv)
Strigamia_acuminata,Athous_sp._(juv)
Malthodes_sp._(juv),Athous_sp._(juv)
Habrocerus_capillaricornis,Athous_sp._(juv)
Othius_sp._(juv)_{m},Athous_sp._(juv)
Amaurobius_sp._(juv),Athous_sp._(juv)
Diplocephalus_picinus,Athous_sp._(juv)
Harpactea_lepida_(juv)_small,Athous_sp._(juv)
Harpactea_lepida_small,Athous_sp._(juv)
Microneta_viaria,Athous_sp._(juv)
Neobisium_sp.,Athous_sp._(juv)
Robertus_lividus,Athous_sp._(juv)
Lithobius_curtipes_(juv),Athous_sp._(juv)
