consumer,resource,NA,NA,NA,NA
Insecta,class,NA,0.01,marine,3
Zooplankton,NA,NA,0.001,marine,3
Paracentrotus_lividus,species,NA,0.01,marine,2
Lipophrys_pholis,species,NA,0.32,marine,3
Coryphoblennius_galerita,species,NA,0.18,marine,3
Sagartia_elegans,species,NA,0.31,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.01,marine,2
Oligochaeta,NA,NA,0.01,marine,2
Acanthochitona_crinita,species,NA,0.208,marine,2
Lepidochitona_cinerea,species,NA,0.01,marine,2
Patella_ulyssiponensis,species,NA,0.01,marine,2
Gibbula_umbilicalis,species,NA,0.26,marine,2
Rissoidae,family,NA,0.01,marine,2
Nassariidae,family,NA,1.13,marine,2
Omalogyra_atomus,species,NA,7e-4,marine,2
Barleeia_sp.,genus,NA,0.0018,marine,2
Musculus_costulatus,species,NA,0.01,marine,2
Mytilus_galloprovincialis,species,NA,0.61,marine,2
Modiolula_phaseolina,species,NA,0.067,marine,2
Tanaidacea,NA,NA,0.01,marine,3
Sphaeromatidae,family,NA,0.01,marine,2
Ampithoidae,family,NA,0.01,marine,3
Gammaridae,family,NA,0.01,marine,3
Lysianassidae,family,NA,0.01,marine,3
Palaemon_longirostris,species,NA,0.38,marine,3
Palaemon_elegans,species,NA,0.15,marine,3
Necora_puber,species,NA,1.97,marine,2
Actinia_equina,species,NA,1.89,marine,3
Ectoprocta,NA,NA,1.5,marine,3
Aulactinia_verrucosa,species,NA,0.5,marine,3
Venerupis_sp.,genus,NA,0.01,marine,3
Anemonia_sulcata,species,NA,18.23,marine,3
Actinia_fragacea,species,NA,9.42,marine,2
