consumer,resource,NA,NA,NA,NA
austromegabalanus_psittacus,species,adults,0.95,marine,2
balanus_laevis,species,adults,0.05,marine,2
brachidontes_granulata,species,adults,0.08,marine,2
jhelius_cirratus,species,adults,0.05,marine,2
nothobalanus_flosculus,species,adults,0.05,marine,2
nothochthamalus_scabrosus,species,adults,0.05,marine,2
perumytilus_purpuratus,species,adults,2.52,marine,2
semimytilus_algosus,species,adults,0.04,marine,2
acanthocyclus_gayi,species,adults,6.01,marine,2
acanthocyclus_hassleri,species,adults,6.65,marine,2
chiton_cummingii,species,adults,8.23,marine,2
chiton_granosus,species,adults,2.3,marine,2
chiton_latus,species,adults,0.06,marine,2
lottia_orbigny,species,adults,0.02,marine,2
concholepas_concholepas,species,adults,2.3,marine,2
fissurella_costata,species,adults,49.03,marine,2
fissurella_crassa,species,adults,15.2,marine,2
fissurella_cummingii,species,adults,18,marine,2
fissurella_limbata,species,adults,16.45,marine,2
fissurella_maxima,species,adults,11,marine,2
fissurella_picta,species,adults,15,marine,2
fissurella_puhlcra,species,adults,15,marine,2
scurria_araucana,species,adults,0.02,marine,2
scurria_ceciliana,species,adults,0.045,marine,2
scurria_plana,species,adults,0.03,marine,2
scurria_variabilis,species,adults,0.3,marine,2
scurria_viridula,species,adults,1.84,marine,2
scurria_zebrina,species,adults,2.97,marine,2
siphonaria_lesoni,species,adults,0.018,marine,2
phragmatopoma_spp.,species,adults,2.5,marine,2
Nodilittorina_peruviana,species,adults,0.0129,marine,2
austrolittorina_araucana,species,adults,0.0068,marine,2
onchidella,genus,adults,0.0077,marine,2
tegula_atra,species,adults,1,marine,2
acanthina_monodon,species,adults,8,marine,2
pyura_chilensis,species,adults,2.91,marine,2
acanthopleura_echinata,species,adults,5.1,marine,2
chaetopleura_peruviana,species,adults,0.18,marine,2
enoplochiton_niger,species,adults,6,marine,2
scurria_scurra,species,adults,1.27,marine,2
tonicia_benaventii,species,adults,6.14,marine,2
tonicia_chilensis,species,adults,6.14,marine,2
tonicia_elegans,species,adults,6.14,marine,2
heliaster_helianthus,species,adults,173.46,marine,2
stichaster_striatus,species,adults,8.7,marine,2
petrolisthes_punctatus,species,adults,NA,marine,2
petrolisthes_spinifrons,species,adults,NA,marine,2
petrolisthes_angulosus,species,adults,NA,marine,2
petrolisthes_tuberculatus,species,adults,NA,marine,2
petrolisthes_tuberculosus,species,adults,NA,marine,2
anthotoe_spp.,species,adults,10,marine,2
bunodactis_spp.,genus,adults,12,marine,2
isolauctis_spp.,genus,adults,11,marine,2
parantheopsis,species,adults,10,marine,2
Phymactis_clematis,species,adults,11.91,marine,2
Larus_dominicanus,species,adults,500,marine,2
Cinclodes_nifrofumanus,species,adults,280,marine,2
