consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Polychaeta,class,NA,9e-4,marine
Oligochaeta,NA,NA,0.0028,marine
Priapulida,NA,NA,0.006,marine
Turridae,family,NA,0.01,marine
Omalogyra_atomus,species,NA,2e-4,marine
Gammaridae,family,NA,0.0012,marine
Palaemon_elegans,species,NA,1.97,marine
Insecta,class,NA,0.01,marine
Lipophrys_pholis,species,NA,0.01,marine
Coryphoblennius_galerita,species,NA,0.225,marine
Priapulida,NA,NA,0.006,marine
Zooplankton,NA,NA,0.001,marine
Lipophrys_pholis,species,NA,0.01,marine
Coryphoblennius_galerita,species,NA,0.225,marine
Gammaridae,family,NA,0.0012,marine
Liza_ramada,species,NA,0.103,marine
Oligochaeta,NA,NA,0.0028,marine
Polychaeta,class,NA,9e-4,marine
Insecta,class,NA,0.01,marine
Turridae,family,NA,0.01,marine
Palaemon_elegans,species,NA,1.97,marine
