consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,2
Polychaeta,class,NA,0.0034,marine,2
Oligochaeta,NA,NA,7e-4,marine,2
Fissurella_rosea,species,NA,0.0013,marine,2
Eulithidium_affine,species,NA,0.0028,marine,2
Tanaidacea,NA,NA,6e-4,marine,2
Idotea,genus,NA,0.0037,marine,2
Gammaridae,family,NA,0.0014,marine,2
Amphitoidae,family,NA,0.0011,marine,2
Pagurus_sp.,genus,NA,0.426,marine,2
Palaemon_northropi,species,NA,0.36,marine,3
Scartella_cristata,species,NA,0.2735,marine,3
Stramonita_haemastoma,species,NA,4.07,marine,2
Haemulon_parra,species,NA,0.01,marine,3
