consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Polychaeta,class,NA,0.01,marine,2
Mytilaster_solisianus,species,NA,0.33,marine,2
Isopoda,order,NA,0.01,marine,2
Sebidae,family,NA,0.01,marine,3
Pachygrapsus_transversus,species,NA,0.24,marine,2
Tetraclita_stalactifera,species,NA,1.24,marine,2
Megabalanus_tintinnabulum,species,NA,0.12,marine,2
Copepoda,NA,NA,0.001,marine,3
Bathygobius_soporator,species,NA,0.5,marine,3
Zooplankton,NA,NA,0.001,marine,3
Tetraclita_stalactifera,species,NA,1.24,marine,3
Megabalanus_tintinnabulum,species,NA,0.12,marine,3
Copepoda,NA,NA,0.001,marine,3
Mytilaster_solisianus,species,NA,0.33,marine,3
Perna_perna,species,NA,0.01,marine,3
Isognomon_bicolor,species,NA,0.01,marine,3
Isopoda,order,NA,0.01,marine,2
Sebidae,family,NA,0.01,marine,3
Polychaeta,class,NA,0.01,marine,3
Bathygobius_soporator,species,NA,0.5,marine,2
Polychaeta,class,NA,0.01,marine,2
Stramonita_haemastoma,species,NA,6.9,marine,2
Bathygobius_soporator,species,NA,0.5,marine,3
Pachygrapsus_transversus,species,NA,0.24,marine,2
Pachygrapsus_transversus,species,NA,0.24,marine,3
