consumer,resource,NA,NA,NA,NA
Chironomidae_indet.,family,larvae,0.0382,lakes,3
Tanytarsus_bruchonidae,species,larvae,0.01298,lakes,3
Glyptotendipes_pallens,species,larvae,0.0773,lakes,3
Chironomus_dorsalis,species,larvae,0.1472,lakes,3
Corynoneura_scutellata,species,larvae,0.0086,lakes,3
Acanthocyclops_vernalis,species,adults,0.0022,lakes,3
Chydorus_latus,species,adults,1e-4,lakes,3
Scapaloberis_mucronata,species,adults,9e-4,lakes,3
Enchytraidae_sp.,family,adults,0.0085,lakes,2
Lumbriculus_variegatus,species,adults,1.6127,lakes,2
Procladius_sagittalis,species,larvae,0.0441,lakes,2
Hydroporus_erythrocephalus,species,adults,0.0474,lakes,2
Sigara_semistriata,species,adults,0.1215,lakes,2
Arctocorisa_germari,species,larvae,0.218,lakes,2
Hesperocorixa_sahlbergi,species,adults,0.2141,lakes,2
Hesperocorixa_linnei,species,adults,0.2064,lakes,2
Corixa_punctata,species,adults,0.9278,lakes,2
Corixa_dentipes,species,adults,0.9669,lakes,2
Callicorixa_praeusta,species,adults,0.1989,lakes,2
Sialis_lutaria,species,larvae,0.5252,lakes,2
Limnephilus_marmoratus,species,larvae,0.8076,lakes,2
Holocentropus_picicornis,species,larvae,0.1062,lakes,2
Dytiscus_marginalis,species,adults,5.0192,lakes,3
Illybius_fuliginosus,species,adults,0.65,lakes,3
Agabus_bipustulatus,species,adults,0.612,lakes,3
Agabus_sturmii,species,adults,0.2822,lakes,3
Notonecta_glauca,species,adults,1.4396,lakes,3
Sympetrum_scoticum,species,larvae,0.8435,lakes,2
Aeshna_juncea,species,larvae,2.7028,lakes,2
Lestes_sponsa,species,larvae,0.7813,lakes,2
Enallagma_cyathigerum,species,larvae,0.0728,lakes,2
Argyroneta_aquatica,species,adults,0.2722,lakes,2
Polycelis_tenuis,species,larvae,0.0506,lakes,3
