consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,2e-4,marine,2
Oligochaeta,NA,NA,2e-4,marine,2
Omalogyra_atomus,species,NA,3e-4,marine,2
Littorina_littorea,species,NA,0.01,marine,2
Gibbula_umbilicalis,species,NA,0.01,marine,2
Gibbula_cineraria,species,NA,0.01,marine,2
Bivalvia,class,NA,0.01,marine,2
Tanaidacea,NA,NA,0.0021,marine,2
Mysida,order,NA,2e-4,marine,3
Gammaridae,family,NA,0.0012,marine,3
Stenothoidae,family,NA,0.0038,marine,3
Sphaeromatidae,family,NA,0.0033,marine,2
Palaemon_serratus,species,NA,0.1553,marine,2
Palaemon_elegans,species,NA,0.01,marine,2
Carcinus_maenas,species,NA,0.01,marine,2
Insecta,class,NA,2e-4,marine,2
Harparticoida,order,NA,0.001,marine,3
Ostracoda,class,NA,0.001,marine,2
Membranipora_membranaceae,species,NA,0.01,marine,2
Nymphon_gracile,species,NA,0.01,marine,2
