consumer,resource,NA,NA,NA,NA
Insecta,class,NA,6e-4,marine,3
Insecta,class,NA,6e-4,marine,2
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Lipophrys_trigloides,species,NA,0.34,marine,2
Lipophrys_trigloides,species,NA,0.34,marine,3
Lipophrys_pholis,species,NA,0.36,marine,3
Lipophrys_pholis,species,NA,0.36,marine,2
Ophiuroidea,class,NA,0.0061,marine,2
Nemertea,NA,NA,5e-4,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.0013,marine,2
Oligochaeta,NA,NA,0.0017,marine,2
Acanthochitona_crinita,species,NA,0.036,marine,2
Lepidochitona_cinerea,species,NA,0.002,marine,2
Patella_depressa,species,NA,6.64,marine,2
Gibbula_umbilicalis,species,NA,0.215,marine,2
Rissoidae,family,NA,0.0019,marine,2
Hydrobia_sp.,genus,NA,0.0015,marine,2
Nucella_sp.,genus,NA,0.0064,marine,2
Nassariidae,family,NA,0.11,marine,2
Tricolia_pullus,species,NA,0.0095,marine,2
Omalogyra_atomus,species,NA,7e-4,marine,2
Barleeia_sp.,genus,NA,0.0026,marine,2
Musculus_costulatus,species,NA,0.0075,marine,2
Mytilus_galloprovincialis,species,NA,0.266,marine,2
Modiolula_phaseolina,species,NA,0.0176,marine,2
Petricolinae,family,NA,0.01,marine,2
Cardiidae,family,NA,0.0016,marine,2
Turtonia_minuta,species,NA,0.001,marine,3
Tanaidacea,NA,NA,9e-4,marine,3
Ampithoidae,family,NA,0.0038,marine,3
Gammaridae,family,NA,0.0019,marine,3
Stenothoidae,family,NA,0.0012,marine,3
Palaemon_longirostris,species,NA,0.118,marine,3
Palaemon_longirostris,species,NA,0.118,marine,2
Palaemon_elegans,species,NA,1.01,marine,3
Gobius_paganellus,species,NA,0.25,marine,2
Gobius_paganellus,species,NA,0.25,marine,3
Lophozozymus_incisus,species,NA,1.15,marine,2
Carcinus_maenas,species,NA,0.154,marine,2
Insecta,class,NA,6e-4,marine,3
Nassariidae,family,NA,0.11,marine,2
Polychaeta,class,NA,0.0013,marine,3
Palaemon_longirostris,species,NA,0.118,marine,3
Gobius_paganellus,species,NA,0.25,marine,3
Carcinus_maenas,species,NA,0.154,marine,2
Zooplankton,NA,NA,0.001,marine,3
Aulactinia_verrucosa,species,NA,0.4,marine,3
Gammaridae,family,NA,0.0019,marine,3
Sagartia_elegans,species,NA,0.01,marine,3
Ophiuroidea,class,NA,0.0061,marine,3
Nematoda,NA,NA,0.01,marine,2
Oligochaeta,NA,NA,0.0017,marine,3
Lipophrys_pholis,species,NA,0.36,marine,3
Musculus_costulatus,species,NA,0.0075,marine,3
Mytilus_galloprovincialis,species,NA,0.266,marine,3
Modiolula_phaseolina,species,NA,0.0176,marine,3
Petricolinae,family,NA,0.01,marine,3
Cardiidae,family,NA,0.0016,marine,3
Angulus_tenuis,species,NA,0.002,marine,3
Turtonia_minuta,species,NA,0.001,marine,3
Lipophrys_trigloides,species,NA,0.34,marine,3
Tanaidacea,NA,NA,9e-4,marine,3
Anemonia_sulcata,species,NA,34.33,marine,3
Lipophrys_pholis,species,NA,0.36,marine,2
Palaemon_longirostris,species,NA,0.118,marine,2
Palaemon_elegans,species,NA,1.01,marine,2
Gobius_paganellus,species,NA,0.25,marine,2
Nemertea,NA,NA,5e-4,marine,2
Aulactinia_verrucosa,species,NA,0.4,marine,2
Ampithoidae,family,NA,0.0038,marine,2
Chrysallida_pellucida,species,NA,0.0052,marine,2
Ophiuroidea,class,NA,0.0061,marine,2
Polychaeta,class,NA,0.0013,marine,2
Lipophrys_trigloides,species,NA,0.34,marine,2
Gammaridae,family,NA,0.0019,marine,2
Oligochaeta,NA,NA,0.0017,marine,2
Anemonia_sulcata,species,NA,34.33,marine,2
Lophozozymus_incisus,species,NA,1.15,marine,2
Nucella_sp.,genus,NA,0.0064,marine,2
Palaemon_elegans,species,NA,1.01,marine,3
