consumer,resource,NA,NA,NA
Polychaeta,class,NA,2e-4,marine
Alitta_virens,species,NA,0.2926,marine
Zooplankton,NA,NA,0.001,marine
Eteone_longa,species,NA,0.147,marine
Fabricia_stellaris,species,NA,3e-4,marine
Hediste_diversicolor,species,NA,0.0362,marine
Oligochaeta,NA,NA,2e-4,marine
Gammarus_oceanicus,species,NA,0.005,marine
Insecta,class,NA,0.003,marine
Polychaeta,class,NA,2e-4,marine
Alitta_virens,species,NA,0.2926,marine
Eteone_longa,species,NA,0.147,marine
Hediste_diversicolor,species,NA,0.0362,marine
Zooplankton,NA,NA,0.001,marine
Oligochaeta,NA,NA,2e-4,marine
Mytilus_sp.,genus,NA,2.652,marine
Gammarus_oceanicus,species,NA,0.005,marine
Insecta,class,NA,0.003,marine
Nematoda,NA,NA,0.01,marine
