consumer,resource,NA,NA,NA,NA
Gibbula_umbilicalis,species,NA,0.0073,marine,2
Patella_ulyssiponensis,species,NA,0.01,marine,2
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Lipophrys_pholis,species,NA,0.115,marine,3
Omalogyra_atomus,species,NA,5e-4,marine,2
Copepoda,NA,NA,0.001,marine,3
Tanaidacea,NA,NA,8e-4,marine,2
Isopoda,order,NA,7e-4,marine,2
Gammaridae,family,NA,5e-4,marine,3
Batzella_inops,species,NA,0.01,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,8e-4,marine,2
Insecta,class,NA,2e-4,marine,3
Lipophrys_pholis,species,NA,0.115,marine,2
Zooplankton,NA,NA,0.001,marine,3
Lipophrys_pholis,species,NA,0.115,marine,3
Tanaidacea,NA,NA,8e-4,marine,3
Isopoda,order,NA,7e-4,marine,2
Gammaridae,family,NA,5e-4,marine,3
Copepoda,NA,NA,0.001,marine,3
Polychaeta,class,NA,8e-4,marine,3
Tanaidacea,NA,NA,8e-4,marine,2
Nematoda,NA,NA,0.01,marine,2
Gammaridae,family,NA,5e-4,marine,2
Polychaeta,class,NA,8e-4,marine,2
Insecta,class,NA,2e-4,marine,3
