consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Copepoda,NA,NA,0.001,marine
Pachygrapsus_transversus,species,NA,1.21,marine
Scartella_cristata,species,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Copepoda,NA,NA,0.001,marine
Mytilaster_solisianus,species,NA,0.01,marine
Tanaidacea,NA,NA,0.01,marine
Isopoda,order,NA,0.01,marine
Sebidae,family,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Scartella_cristata,species,NA,0.01,marine
Pachygrapsus_transversus,species,NA,1.21,marine
Microphrys_bicornutus,species,NA,0.51,marine
