consumer,resource,NA,NA,NA,NA
Nematoda,NA,NA,0.01,marine,2
Zooplankton,NA,NA,0.001,marine,3
Tetraclita_stalactifera,species,NA,0.008,marine,2
Copepoda,NA,NA,0.001,marine,3
Pachygrapsus_transversus,species,NA,1.07,marine,2
Bathygobius_soporator,species,NA,0.36,marine,3
Scartella_cristata,species,NA,0.68,marine,3
Tanaidacea,NA,NA,0.01,marine,2
Isopoda,order,NA,0.01,marine,2
Gammaridae,family,NA,0.01,marine,3
Palaemon_northropi,species,NA,0.17,marine,2
Polychaeta,class,NA,0.01,marine,2
Morula_nodulosa,species,NA,1,marine,2
Pagurus_sp.,genus,NA,0.11,marine,2
