consumer,resource
Mesaphorura_sp.,bacterivorous_nematodes
Micranurida_pygmaea,bacterivorous_nematodes
Paratullbergia_callipygos,bacterivorous_nematodes
Athous_subfuscus_(juv)_{m},bacterivorous_nematodes
Atheta_sp._(juv),bacterivorous_nematodes
Othius_sp._(juv)_{m},bacterivorous_nematodes
Xantholininae_sp._(juv),bacterivorous_nematodes
Lysigamasus_vagabundus,bacterivorous_nematodes
Pachylaelaps_longisetosus,bacterivorous_nematodes
Pergamasus_sp._(juv)_{s},bacterivorous_nematodes
Phytoseinae_sp._(juv),bacterivorous_nematodes
Trachytes_aegrota,bacterivorous_nematodes
Trachytes_aegrota_(juv)_{xs},bacterivorous_nematodes
Urodiaspis_tecta_(juv),bacterivorous_nematodes
Uropoda_minima,bacterivorous_nematodes
Uropoda_minima_(juv),bacterivorous_nematodes
Veigaia_nemorensis,bacterivorous_nematodes
Veigaia_nemorensis_(juv),bacterivorous_nematodes
Hypochthonius_rufulus,bacterivorous_nematodes
Oribatida_sp._(juv),bacterivorous_nematodes
Microppia_minus,bacterivorous_nematodes
Nothrus_silvestris,bacterivorous_nematodes
Oppiella_nova,bacterivorous_nematodes
predacious_nematodes,bacterivorous_nematodes
omnivorous_nematodes,bacterivorous_nematodes
Pergamasus_norvegicus,bacterivorous_nematodes
Urodiaspis_tecta,bacterivorous_nematodes
Berniniella_sigma,bacterivorous_nematodes
Oppiella_propinqua,bacterivorous_nematodes
Suctobelbella_sp.,bacterivorous_nematodes
Mesaphorura_yosii,bacterivorous_nematodes
Mesaphorura_macrochaeta,bacterivorous_nematodes
Mesaphorura_sylvatica,bacterivorous_nematodes
Pergamasinae_(juv)_{s},bacterivorous_nematodes
Lithobius_sp.,Blaniulidae_sp._(juv)
Athous_subfuscus_(juv)_{m},Blaniulidae_sp._(juv)
Atheta_sp._(juv),Blaniulidae_sp._(juv)
Geostiba_circellaris,Blaniulidae_sp._(juv)
Othius_subuliformis,Blaniulidae_sp._(juv)
Othius_sp._(juv)_{m},Blaniulidae_sp._(juv)
Xantholininae_sp._(juv),Blaniulidae_sp._(juv)
Microlestes_sp.,Blaniulidae_sp._(juv)
Conosoma_testaceum,Blaniulidae_sp._(juv)
Mycetoporus_mulsanti,Blaniulidae_sp._(juv)
Olophrum_piceum,Blaniulidae_sp._(juv)
Stenus_clavicornis,Blaniulidae_sp._(juv)
Stenus_humilis,Blaniulidae_sp._(juv)
Lithobius_curtipes_{l},Blaniulidae_sp._(juv)
Staphylinidae_spec,Blaniulidae_sp._(juv)
Carabidae_sp._(juv),Carabidae_sp.
Carabidae_sp.,Carabidae_sp.
Geophilomorpha_sp.,Carabidae_sp.
Carabidae_sp._(juv),Carabidae_sp._(juv)
Lithobius_sp.,Carabodes_labyrinthicus
Lithobius_curtipes_{l},Carabodes_labyrinthicus
Lithobius_sp.,Carabodes_ornatus
Schendyla_nemorensis,Carabodes_ornatus
Lithobius_curtipes_{l},Carabodes_ornatus
Geophilomorpha_sp.,Carabodes_ornatus
Lithobius_sp.,Cepheus_cepheiformes
Schendyla_nemorensis,Cepheus_cepheiformes
Lithobius_curtipes_{l},Cepheus_cepheiformes
Geophilomorpha_sp.,Cepheus_cepheiformes
Lithobius_sp.,Ceratinella_scabrosa
Schendyla_nemorensis,Ceratinella_scabrosa
Geostiba_circellaris,Ceratinella_scabrosa
Othius_subuliformis,Ceratinella_scabrosa
Othius_sp._(juv)_{m},Ceratinella_scabrosa
Xantholininae_sp._(juv),Ceratinella_scabrosa
Linyphiidae_(juv),Ceratinella_scabrosa
Microneta_viaria,Ceratinella_scabrosa
Neon_reticulatus_(juv),Ceratinella_scabrosa
Robertus_lividus,Ceratinella_scabrosa
Tapinocyba_insecta,Ceratinella_scabrosa
Trochosa_sp._(juv),Ceratinella_scabrosa
Euryopis_flavomaculata,Ceratinella_scabrosa
Microlestes_sp.,Ceratinella_scabrosa
Conosoma_testaceum,Ceratinella_scabrosa
Mycetoporus_mulsanti,Ceratinella_scabrosa
Olophrum_piceum,Ceratinella_scabrosa
Stenus_clavicornis,Ceratinella_scabrosa
Stenus_humilis,Ceratinella_scabrosa
Hahniidae_sp._(juv),Ceratinella_scabrosa
Clubionidae_(juv),Ceratinella_scabrosa
Lithobius_curtipes_{l},Ceratinella_scabrosa
Staphylinidae_spec,Ceratinella_scabrosa
Geophilomorpha_sp.,Ceratinella_scabrosa
Euophrys_frontalis,Ceratinella_scabrosa
Theridiidae_sp._(juv),Ceratinella_scabrosa
Salticidae_sp._(juv),Ceratinella_scabrosa
Pocadicnemis_juncea,Ceratinella_scabrosa
Pelecopsis_radicicola,Ceratinella_scabrosa
Lycosidae_sp._(juv),Ceratinella_scabrosa
Euophrys_herbigrada,Ceratinella_scabrosa
Zora_spinimana_(juv),Ceratinella_scabrosa
Isotomiella_minor,ciliates
Megalothorax_minimus,ciliates
Parisotoma_notabilis,ciliates
predacious_nematodes,ciliates
omnivorous_nematodes,ciliates
Enchytraeidae,ciliates
