consumer,resource,NA,NA,NA
Zooplankton,NA,NA,0.001,marine
Mytilaster_solisianus,species,NA,0.02,marine
Malacoctenus_delalandii,species,NA,0.01,marine
Tanaidacea,NA,NA,0.01,marine
Isopoda,order,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Tanaidacea,NA,NA,0.01,marine
Zooplankton,NA,NA,0.001,marine
Mytilaster_solisianus,species,NA,0.02,marine
Isopoda,order,NA,0.01,marine
Polychaeta,class,NA,0.01,marine
Stramonita_haemastoma,species,NA,3.8,marine
Echinometra_lucunter,species,NA,0.01,marine
Malacoctenus_delalandii,species,NA,0.01,marine
