consumer,resource,NA,NA,NA,NA
Insecta,class,NA,0.01,marine,2
Insecta,class,NA,0.01,marine,3
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Ophiuroidea,class,NA,0.533,marine,2
Holothuria_sp.,genus,NA,60.8,marine,2
Sardina_pilchardus,species,NA,0.01,marine,3
Liza_ramada,species,NA,0.01,marine,3
Lipophrys_trigloides,species,NA,0.536,marine,2
Lipophrys_trigloides,species,NA,0.536,marine,3
Lipophrys_pholis,species,NA,0.679,marine,3
Lipophrys_pholis,species,NA,0.679,marine,2
Gobius_paganellus,species,NA,0.251,marine,3
Gobius_paganellus,species,NA,0.251,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.0019,marine,2
Oligochaeta,NA,NA,9e-4,marine,2
Acanthochitona_crinita,species,NA,0.41,marine,2
Lepidochitona_cinerea,species,NA,0.219,marine,2
Leptochiton_algesirensis,species,NA,0.19,marine,2
Patella_vulgata,species,NA,0.01,marine,2
Gibbula_umbilicalis,species,NA,0.376,marine,2
Rissoidae,family,NA,0.0022,marine,2
Botryllus_schlosseri,species,NA,0.01,marine,2
Nucella_sp.,genus,NA,0.0015,marine,2
Barleeia_sp.,genus,NA,0.0011,marine,2
Aplysia_punctata,species,NA,0.695,marine,2
Musculus_costulatus,species,NA,0.0175,marine,2
Mytilus_galloprovincialis,species,NA,2.19,marine,2
Cardiidae,family,NA,0.0014,marine,2
Sphaeromatidae,family,NA,0.17,marine,2
Ampithoidae,family,NA,0.0022,marine,3
Stenothoidae,family,NA,4e-4,marine,3
Palaemon_serratus,species,NA,1.52,marine,3
Palaemon_adspersus,species,NA,0.51,marine,3
Palaemon_longirostris,species,NA,0.301,marine,3
Palaemon_elegans,species,NA,0.723,marine,3
Lophozozymus_incisus,species,NA,0.6,marine,2
Pirimela_denticulata,species,NA,0.45,marine,2
Patella_rustica,species,NA,0.01,marine,2
Paracentrotus_lividus,species,NA,1.278,marine,2
Copepoda,NA,NA,0.001,marine,3
Chthamalus_sp.,genus,NA,0.01,marine,2
Nassariidae,family,NA,0.0383,marine,2
Botryllus_schlosseri,species,NA,0.01,marine,3
Oligochaeta,NA,NA,9e-4,marine,3
Musculus_costulatus,species,NA,0.0175,marine,3
Cardiidae,family,NA,0.0014,marine,3
Chthamalus_sp.,genus,NA,0.01,marine,3
Palaemon_serratus,species,NA,1.52,marine,2
Palaemon_adspersus,species,NA,0.51,marine,2
Palaemon_longirostris,species,NA,0.301,marine,2
Palaemon_elegans,species,NA,0.723,marine,2
Anemonia_sulcata,species,NA,41.3,marine,2
Anemonia_sulcata,species,NA,41.3,marine,3
Liza_ramada,species,NA,0.01,marine,2
Turridae,family,NA,0.0064,marine,2
Ampithoidae,family,NA,0.0022,marine,2
Chrysallida_pellucida,species,NA,0.002,marine,2
Asterina_gibbosa,species,NA,0.19,marine,2
Marthasterias_glacialis,species,NA,12.89,marine,2
