consumer,resource,NA,NA,NA,NA
Insecta,class,NA,0.01,marine,3
Insecta,class,NA,0.01,marine,2
Zooplankton,NA,NA,0.001,marine,3
Zooplankton,NA,NA,0.001,marine,2
Halacaridae,family,NA,0.01,marine,2
Coryphoblennius_galerita,species,NA,0.59,marine,2
Coryphoblennius_galerita,species,NA,0.59,marine,3
Aulactinia_verrucosa,species,NA,0.01,marine,2
Nemertea,NA,NA,0.01,marine,2
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.01,marine,2
Oligochaeta,NA,NA,0.01,marine,2
Acanthochitona_crinita,species,NA,0.07,marine,2
Patella_ulyssiponensis,species,NA,2.13,marine,2
Gibbula_umbilicalis,species,NA,0.45,marine,2
Nucella_sp.,genus,NA,0.04,marine,2
Ocenebra_erinaceus,species,NA,0.04,marine,2
Nassariidae,family,NA,0.3,marine,2
Musculus_costulatus,species,NA,0.008,marine,2
Mytilus_galloprovincialis,species,NA,0.94,marine,2
Mytilus_galloprovincialis,species,NA,0.94,marine,3
Solecurtus_strigilatus,species,NA,0.0033,marine,2
Venerupis_sp.,genus,NA,0.08,marine,2
Tanaidacea,NA,NA,0.01,marine,3
Sphaeromatidae,family,NA,0.01,marine,2
Ampithoidae,family,NA,0.01,marine,3
Copepoda,NA,NA,0.001,marine,3
Polychaeta,class,NA,0.01,marine,3
Actinia_equina,species,NA,4.14,marine,3
Aulactinia_verrucosa,species,NA,0.01,marine,3
Sagartia_elegans,species,NA,18,marine,3
Oligochaeta,NA,NA,0.01,marine,3
Musculus_costulatus,species,NA,0.008,marine,3
Lepidotrigla_sp.,genus,NA,0.01,marine,3
Solecurtus_strigilatus,species,NA,0.0033,marine,3
Venerupis_sp.,genus,NA,0.08,marine,3
Turritellidae,family,NA,9e-4,marine,2
Actinia_equina,species,NA,4.14,marine,2
Anemonia_sulcata,species,NA,15,marine,3
Epitonium_clathrus,species,NA,0.0033,marine,2
Turridae,family,NA,0.0015,marine,2
Ampithoidae,family,NA,0.01,marine,2
Lepidotrigla_sp.,genus,NA,0.01,marine,2
Actinia_fragacea,species,NA,14,marine,2
Anemonia_sulcata,species,NA,15,marine,2
Actinia_fragacea,species,NA,14,marine,3
