consumer,resource,NA,NA,NA,NA
Zooplankton,NA,NA,0.001,marine,3
Nematoda,NA,NA,0.01,marine,2
Polychaeta,class,NA,0.0639,marine,2
Alitta_virens,species,NA,0.0296,marine,2
Hediste_diversicolor,species,NA,0.0296,marine,2
Eteone_sp.,genus,NA,0.002,marine,2
Oligochaeta,NA,NA,2e-4,marine,2
Gammarus_oceanicus,species,NA,0.1369,marine,2
Polychaeta,class,NA,0.0639,marine,3
Alitta_virens,species,NA,0.0296,marine,3
Hediste_diversicolor,species,NA,0.0296,marine,3
Eteone_sp.,genus,NA,0.002,marine,3
Oligochaeta,NA,NA,2e-4,marine,3
Mytilus_sp.,genus,NA,2.2525,marine,3
Gammarus_oceanicus,species,NA,0.1369,marine,3
Aulactinia_stella,species,NA,0.7277,marine,3
