consumer,resource,NA,NA,NA,NA
Achromadora,genus,adults,2e-9,terrestrial belowground,NA
Acrobeles_ciliatus,species,adults,1.71e-8,terrestrial belowground,NA
Acrobeloides,genus,adults,1.39e-8,terrestrial belowground,NA
Aglenchus_agricola,species,adults,2.69e-8,terrestrial belowground,NA
Alaimus,genus,adults,3.56e-8,terrestrial belowground,NA
Aphelenchoides,genus,adults,1.97e-8,terrestrial belowground,NA
Cephalobidae,family,adults,1.44e-8,terrestrial belowground,NA
Chromadoridae,family,adults,2.32e-9,terrestrial belowground,NA
Chronogaster,genus,adults,4.07e-8,terrestrial belowground,NA
Coslenchus,genus,adults,2.69e-8,terrestrial belowground,NA
Dauerlarvae,NA,inactive,4.12e-8,terrestrial belowground,2
Diphtherophora,genus,adults,2.24e-8,terrestrial belowground,NA
Dolichodoridae,family,adults,2.34e-8,terrestrial belowground,NA
Dolichorhynchus,genus,adults,8.32e-9,terrestrial belowground,NA
Dorylaimida,order,adults,2.51e-7,terrestrial belowground,NA
Eucephalobus,genus,adults,2.91e-8,terrestrial belowground,NA
Filenchus,genus,adults,2.42e-8,terrestrial belowground,NA
Helicotylenchus,genus,adults,4.33e-8,terrestrial belowground,NA
Heterocephalobus_elongatus,species,adults,4.04e-8,terrestrial belowground,NA
Longidorus,genus,adults,4.68e-6,terrestrial belowground,NA
Meloidogyne,genus,juveniles,8.71e-9,terrestrial belowground,NA
Meloidogyne_naasi,species,adults,5.13e-8,terrestrial belowground,NA
Metateratocephalus_crassidens,species,adults,1.07e-8,terrestrial belowground,NA
Panagrolaimus,genus,adults,5.33e-8,terrestrial belowground,NA
Paratrichodorus,genus,adults,2.34e-7,terrestrial belowground,NA
Paratrichodorus_teres,species,adults,8.66e-8,terrestrial belowground,NA
Paratylenchus,genus,adults,1.24e-8,terrestrial belowground,NA
Plectidae,family,adults,1.38e-8,terrestrial belowground,NA
Plectus,genus,adults,3.43e-8,terrestrial belowground,NA
Pratylenchus,genus,adults,1.19e-8,terrestrial belowground,NA
Pratylenchus_crenatus,species,adults,5.89e-8,terrestrial belowground,NA
Prismatolaimus,genus,adults,1.59e-8,terrestrial belowground,NA
Rhabditidae,family,adults,8.38e-8,terrestrial belowground,NA
Teratocephalus,genus,adults,1.21e-8,terrestrial belowground,NA
Trichodorus,genus,adults,1.82e-7,terrestrial belowground,NA
Trichodorus_similis,genus,adults,5.4e-8,terrestrial belowground,NA
Tylenchidae,family,adults,1.76e-8,terrestrial belowground,NA
Tylenchorhynchus,genus,adults,5.1e-8,terrestrial belowground,NA
Tylenchorhynchus_dubius,species,adults,2.19e-7,terrestrial belowground,NA
Aporcelaimellus_obtusicaudatus,species,adults,1.15e-6,terrestrial belowground,NA
Clarkus,genus,adults,8.32e-8,terrestrial belowground,NA
Dorylaimoidea,family,adults,2.4e-7,terrestrial belowground,NA
Mononchidae,family,adults,1.48e-7,terrestrial belowground,NA
Neodiplogasteridae,family,adults,1.4e-8,terrestrial belowground,NA
Prodorylaimus,genus,adults,3.09e-7,terrestrial belowground,NA
